formulation,compartment,time_h,observed_ug_cm2,data_type,use_for_fitting
Free KC,EP,24.0,6.2,skin_endpoint_24h,True
Free KC,R,4.0,0.7,receptor_time_profile,True
Free KC,R,6.0,1.8,receptor_time_profile,True
Free KC,R,8.0,4.3,receptor_time_profile,True
Free KC,R,12.0,10.4,receptor_time_profile,True
Free KC,R,24.0,26.81,receptor_time_profile,True
Free KC,SC,24.0,0.9,skin_endpoint_24h,True
KLZ-NPs,EP,24.0,9.4,skin_endpoint_24h,True
KLZ-NPs,R,4.0,1.7,receptor_time_profile,True
KLZ-NPs,R,6.0,3.8,receptor_time_profile,True
KLZ-NPs,R,8.0,6.7,receptor_time_profile,True
KLZ-NPs,R,12.0,13.6,receptor_time_profile,True
KLZ-NPs,R,24.0,33.19,receptor_time_profile,True
KLZ-NPs,SC,24.0,2.7,skin_endpoint_24h,True
