global_element_id,layer_id,layer_name,local_element_id,left_node,right_node,x_left_cm,x_right_cm,element_length_cm
0,1,Donor,0,0,1,0.0,0.022727272727272728,0.022727272727272728
1,1,Donor,1,1,2,0.022727272727272728,0.045454545454545456,0.022727272727272728
2,1,Donor,2,2,3,0.045454545454545456,0.06818181818181818,0.02272727272727272
3,1,Donor,3,3,4,0.06818181818181818,0.09090909090909091,0.022727272727272735
4,1,Donor,4,4,5,0.09090909090909091,0.11363636363636365,0.022727272727272735
5,1,Donor,5,5,6,0.11363636363636365,0.13636363636363635,0.022727272727272707
6,1,Donor,6,6,7,0.13636363636363635,0.1590909090909091,0.022727272727272735
7,1,Donor,7,7,8,0.1590909090909091,0.18181818181818182,0.022727272727272735
8,1,Donor,8,8,9,0.18181818181818182,0.20454545454545456,0.022727272727272735
9,1,Donor,9,9,10,0.20454545454545456,0.2272727272727273,0.022727272727272735
10,1,Donor,10,10,11,0.2272727272727273,0.25,0.022727272727272707
11,1,Donor,11,11,12,0.25,0.2727272727272727,0.022727272727272707
12,1,Donor,12,12,13,0.2727272727272727,0.29545454545454547,0.022727272727272763
13,1,Donor,13,13,14,0.29545454545454547,0.3181818181818182,0.022727272727272707
14,1,Donor,14,14,15,0.3181818181818182,0.34090909090909094,0.022727272727272763
15,1,Donor,15,15,16,0.34090909090909094,0.36363636363636365,0.022727272727272707
16,1,Donor,16,16,17,0.36363636363636365,0.38636363636363635,0.022727272727272707
17,1,Donor,17,17,18,0.38636363636363635,0.4090909090909091,0.022727272727272763
18,1,Donor,18,18,19,0.4090909090909091,0.4318181818181818,0.022727272727272707
19,1,Donor,19,19,20,0.4318181818181818,0.45454545454545453,0.022727272727272707
20,2,SC,0,21,22,0.45454545454545453,0.4547454545454545,0.00019999999999997797
21,2,SC,1,22,23,0.4547454545454545,0.45494545454545454,0.00020000000000003348
22,2,SC,2,23,24,0.45494545454545454,0.4551454545454545,0.00019999999999997797
23,2,SC,3,24,25,0.4551454545454545,0.45534545454545455,0.00020000000000003348
24,2,SC,4,25,26,0.45534545454545455,0.45554545454545453,0.00019999999999997797
25,2,SC,5,26,27,0.45554545454545453,0.4557454545454545,0.00019999999999997797
26,2,SC,6,27,28,0.4557454545454545,0.45594545454545454,0.00020000000000003348
27,2,SC,7,28,29,0.45594545454545454,0.4561454545454545,0.00019999999999997797
28,2,SC,8,29,30,0.4561454545454545,0.45634545454545455,0.00020000000000003348
29,2,SC,9,30,31,0.45634545454545455,0.45654545454545453,0.00019999999999997797
30,3,EP/dermis,0,32,33,0.4565454545454546,0.4574254545454546,0.0008799999999999919
31,3,EP/dermis,1,33,34,0.4574254545454546,0.45830545454545457,0.0008799999999999919
32,3,EP/dermis,2,34,35,0.45830545454545457,0.45918545454545456,0.0008799999999999919
33,3,EP/dermis,3,35,36,0.45918545454545456,0.4600654545454546,0.0008800000000000474
34,3,EP/dermis,4,36,37,0.4600654545454546,0.4609454545454546,0.0008799999999999919
