global_node_id,layer_id,layer_name,local_node_id,x_local_cm,x_global_cm,is_left_boundary,is_right_boundary
0,1,Donor,0,0.0,0.0,True,False
1,1,Donor,1,0.022727272727272728,0.022727272727272728,False,False
2,1,Donor,2,0.045454545454545456,0.045454545454545456,False,False
3,1,Donor,3,0.06818181818181818,0.06818181818181818,False,False
4,1,Donor,4,0.09090909090909091,0.09090909090909091,False,False
5,1,Donor,5,0.11363636363636365,0.11363636363636365,False,False
6,1,Donor,6,0.13636363636363635,0.13636363636363635,False,False
7,1,Donor,7,0.1590909090909091,0.1590909090909091,False,False
8,1,Donor,8,0.18181818181818182,0.18181818181818182,False,False
9,1,Donor,9,0.20454545454545456,0.20454545454545456,False,False
10,1,Donor,10,0.2272727272727273,0.2272727272727273,False,False
11,1,Donor,11,0.25,0.25,False,False
12,1,Donor,12,0.2727272727272727,0.2727272727272727,False,False
13,1,Donor,13,0.29545454545454547,0.29545454545454547,False,False
14,1,Donor,14,0.3181818181818182,0.3181818181818182,False,False
15,1,Donor,15,0.34090909090909094,0.34090909090909094,False,False
16,1,Donor,16,0.36363636363636365,0.36363636363636365,False,False
17,1,Donor,17,0.38636363636363635,0.38636363636363635,False,False
18,1,Donor,18,0.4090909090909091,0.4090909090909091,False,False
19,1,Donor,19,0.4318181818181818,0.4318181818181818,False,False
20,1,Donor,20,0.45454545454545453,0.45454545454545453,False,True
21,2,SC,0,0.0,0.45454545454545453,True,False
22,2,SC,1,0.0002,0.4547454545454545,False,False
23,2,SC,2,0.0004,0.45494545454545454,False,False
24,2,SC,3,0.0006000000000000001,0.4551454545454545,False,False
25,2,SC,4,0.0008,0.45534545454545455,False,False
26,2,SC,5,0.001,0.45554545454545453,False,False
27,2,SC,6,0.0012000000000000001,0.4557454545454545,False,False
28,2,SC,7,0.0014,0.45594545454545454,False,False
29,2,SC,8,0.0016,0.4561454545454545,False,False
30,2,SC,9,0.0018000000000000002,0.45634545454545455,False,False
31,2,SC,10,0.002,0.45654545454545453,False,True
32,3,EP/dermis,0,0.0,0.4565454545454546,True,False
33,3,EP/dermis,1,0.0008799999999999999,0.4574254545454546,False,False
34,3,EP/dermis,2,0.0017599999999999998,0.45830545454545457,False,False
35,3,EP/dermis,3,0.00264,0.45918545454545456,False,False
36,3,EP/dermis,4,0.0035199999999999997,0.4600654545454546,False,False
37,3,EP/dermis,5,0.004399999999999999,0.4609454545454546,False,False
