time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,mesh_name,n_total_elements,n_total_nodes
0.0,485.4994306680032,0.0,0.0,0.0,485.4994306680032,Free KC,Case 1,Coarse,80,84
4.0,478.8048384114512,0.9174493357361571,4.403162256227265,1.3739806645991777,485.4994306680138,Free KC,Case 1,Coarse,80,84
6.0,475.96455612113704,0.9290298354524897,5.353222545311031,3.252622166082004,485.49943066798255,Free KC,Case 1,Coarse,80,84
8.0,473.1954808634609,0.9329714933861246,5.858204912759501,5.512773398377017,485.4994306679835,Free KC,Case 1,Coarse,80,84
12.0,467.7813137551859,0.9302185182664903,6.245685092267111,10.542213302248985,485.4994306679685,Free KC,Case 1,Coarse,80,84
24.0,452.0490901874324,0.9022071316997329,6.223907149215546,26.32422619988375,485.49943066823147,Free KC,Case 1,Coarse,80,84
0.0,485.4994306680032,0.0,0.0,0.0,485.4994306680032,Free KC,Case 1,Base,160,164
4.0,478.8048741689202,0.9174260605455571,4.402901093803495,1.374229344867614,485.4994306681369,Free KC,Case 1,Base,160,164
6.0,475.9645788285082,0.9290189685196423,5.353022846008873,3.25281002554021,485.4994306685769,Free KC,Case 1,Base,160,164
8.0,473.1954932235083,0.9329678521929422,5.858065320359054,5.512904272453317,485.49943066851364,Free KC,Case 1,Base,160,164
12.0,467.7813137560216,0.9302214972055909,6.245626655480507,10.54226875992781,485.4994306686355,Free KC,Case 1,Base,160,164
24.0,452.04908266071794,0.902213150446222,6.223908404662308,26.32422645301083,485.49943066883736,Free KC,Case 1,Base,160,164
0.0,485.4994306680032,0.0,0.0,0.0,485.4994306680032,Free KC,Case 1,Fine,320,324
4.0,478.8048830435151,0.9174202409112191,4.402836046873719,1.374291337288803,485.49943066858884,Free KC,Case 1,Fine,320,324
6.0,475.9645844710103,0.9290162500340031,5.35297302405231,3.25285692378854,485.49943066888517,Free KC,Case 1,Fine,320,324
8.0,473.19549629200014,0.9329669408031703,5.858030467484717,5.512936968752255,485.49943066904024,Free KC,Case 1,Fine,320,324
12.0,467.78131374514993,0.9302222412393857,6.245612044665328,10.542282637506434,485.4994306685611,Free KC,Case 1,Fine,320,324
24.0,452.0490807814863,0.9022146537736812,6.223908635328679,26.324226599121825,485.4994306697104,Free KC,Case 1,Fine,320,324
0.0,863.822948853949,0.0,0.0,0.0,863.822948853949,KLZ-NPs,Case 2,Coarse,80,84
4.0,852.3264521456078,2.638774913036451,7.138758299489356,1.7189634957804123,863.822948853914,KLZ-NPs,Case 2,Coarse,80,84
6.0,848.4859020787162,2.7147400819936567,8.453453139517732,4.168853554135634,863.8229488543632,KLZ-NPs,Case 2,Coarse,80,84
8.0,844.9178792580711,2.746173388119377,9.076183607696214,7.082712600568837,863.8229488544555,KLZ-NPs,Case 2,Coarse,80,84
12.0,838.1358310760004,2.755213521811539,9.481989959536321,13.44991429684414,863.8229488541924,KLZ-NPs,Case 2,Coarse,80,84
24.0,818.5846615126803,2.7006749391213267,9.415313892553957,33.12229851004812,863.8229488544038,KLZ-NPs,Case 2,Coarse,80,84
0.0,863.822948853949,0.0,0.0,0.0,863.822948853949,KLZ-NPs,Case 2,Base,160,164
4.0,852.3267559886716,2.6386052786771943,7.138169331411826,1.7194182553819282,863.8229488541426,KLZ-NPs,Case 2,Base,160,164
6.0,848.4860847974024,2.7146568121383834,8.453039144834035,4.169168099981152,863.822948854356,KLZ-NPs,Case 2,Base,160,164
8.0,844.9179791733649,2.746135731028416,9.075921903330066,7.082912046445941,863.8229488541692,KLZ-NPs,Case 2,Base,160,164
12.0,838.1358476694716,2.755212914078101,9.48190185341682,13.449986417062481,863.822948854029,KLZ-NPs,Case 2,Base,160,164
24.0,818.5846398610156,2.700687847226026,9.41531635748247,33.122304789134496,863.8229488548586,KLZ-NPs,Case 2,Base,160,164
0.0,863.822948853949,0.0,0.0,0.0,863.822948853949,KLZ-NPs,Case 2,Fine,320,324
4.0,852.3268317793754,2.6385628393510046,7.138022425525014,1.7195318101361379,863.8229488543876,KLZ-NPs,Case 2,Fine,320,324
6.0,848.4861304121288,2.714635978926216,8.45293572507742,4.169246736981824,863.8229488531142,KLZ-NPs,Case 2,Fine,320,324
8.0,844.9180041326113,2.746126303496514,9.075856494270422,7.08296192286092,863.8229488532392,KLZ-NPs,Case 2,Fine,320,324
12.0,838.1358518208215,2.7552127567454283,9.481879797799216,13.450004477755693,863.8229488531218,KLZ-NPs,Case 2,Fine,320,324
24.0,818.5846344652819,2.700691070064896,9.415316909654427,33.122306407870084,863.8229488528711,KLZ-NPs,Case 2,Fine,320,324
