time_h,Q1_donor_ug_cm2,Q2_SC_ug_cm2,Q3_EP_ug_cm2,Q4_receptor_ug_cm2,Q_total_ug_cm2,formulation,model_case,C_receptor_model_ug_mL,C_receptor_model_ug_cm3
0.0,485.49943066800313,0.0,0.0,0.0,485.49943066800313,Free KC,Case 1,0.0,0.0
0.2,484.6580097766562,0.739619654170558,0.1018012370562855,3.7530615552216185e-11,485.4994306679206,Free KC,Case 1,1.2702669879211633e-11,1.2702669879211633e-11
0.4,484.2866167038173,0.8285484754835096,0.3842599002340902,5.58828736826465e-06,485.4994306678223,Free KC,Case 1,1.8914203400280356e-06,1.8914203400280356e-06
0.6000000000000001,483.95390193399487,0.8500916728771784,0.6951137844196812,0.0003232764399846,485.4994306677317,Free KC,Case 1,0.00010941664122555694,0.00010941664122555694
0.8,483.63065996654376,0.8602887137561287,1.0057828971203662,0.0026990902298418,485.4994306676501,Free KC,Case 1,0.0009135382316387632,0.0009135382316387632
1.0,483.3120653723944,0.8675773866162807,1.3095573372887803,0.0102305712646855,485.4994306675641,Free KC,Case 1,0.003462654889585862,0.003462654889585862
1.2000000000000002,482.9969070458402,0.8735982726025304,1.6030289357809189,0.0258964132035072,485.49943066742713,Free KC,Case 1,0.008764939853494745,0.008764939853494745
1.4,482.6846626316662,0.8788369303103121,1.8841524080463423,0.051778697431583,485.4994306674544,Free KC,Case 1,0.017525097592228093,0.017525097592228093
1.6,482.37500951837217,0.8835103340636096,2.151862456257317,0.0890483587889054,485.499430667482,Free KC,Case 1,0.03013944451316798,0.03013944451316798
1.8,482.0677134821853,0.8877418315832325,2.4057781413568438,0.1381972122645852,485.49943066739,Free KC,Case 1,0.0467744410741673,0.0467744410741673
2.0,481.7625904863783,0.8916100242969847,2.6459607127640687,0.1992694438433345,485.4994306672827,Free KC,Case 1,0.06744504253159014,0.06744504253159014
2.2,481.459488543413,0.8951682789472722,2.872740431680518,0.2720334131108794,485.49943066715167,Free KC,Case 1,0.09207284751445151,0.09207284751445151
