formulation,parameter,Case_1,Case_2,Case_2_to_Case_1_ratio
Free KC,Q0_eff_ug_cm2,485.49943066800313,485.9682057700823,1.0009655523209042
Free KC,D2_SC_cm2_h,4.158429186595018e-06,4.160519407828155e-06,1.0005026468263245
Free KC,D3_EP_cm2_h,0.0008109087333703,0.0008096073247278,0.9983951231637487
Free KC,P12_donor_SC,1.3070265625310953,1.313210598333468,1.0047313772953452
Free KC,P23_SC_EP,1.0,1.000158407413454,1.000158407413454
Free KC,P34_EP_receptor,0.0029849685984736,0.0029849496025135,0.9999936361273248
Free KC,K34_cm_h,0.8402178561250153,0.8405739683033295,1.0004238331472228
KLZ-NPs,Q0_eff_ug_cm2,1008.8922248756191,863.822948853949,0.8562093428368378
KLZ-NPs,D2_SC_cm2_h,1.5611021084346234e-06,3.961849716857862e-06,2.5378543116763574
KLZ-NPs,D3_EP_cm2_h,0.000741464654192,0.0006700380780281,0.9036682655604993
KLZ-NPs,P12_donor_SC,0.8507584083496907,1.0254711910182202,1.2053612176545383
KLZ-NPs,P23_SC_EP,1.0,4.42517701807799,4.42517701807799
KLZ-NPs,P34_EP_receptor,0.0223419305662687,0.0231795156719741,1.037489379139418
KLZ-NPs,K34_cm_h,3.3347009241763303,3.0361698624488533,0.9104774105638231
