formulation,model_case,target,RMSE_ug_cm2,MAE_ug_cm2,R2,n
Free KC,Case 1,EP/dermis 24 h endpoint,0.0239077844434696,0.0239077844434696,,1
Free KC,Case 2,EP/dermis 24 h endpoint,0.0128096594898297,0.0128096594898297,,1
Free KC,Case 1,Receptor time-course,0.9265629861229528,0.7935970882926001,0.9907042442448678,5
Free KC,Case 2,Receptor time-course,0.9245048456272272,0.795075049621716,0.9907454950245124,5
Free KC,Case 1,SC 24 h endpoint,0.0022131397369044,0.0022131397369044,,1
Free KC,Case 2,SC 24 h endpoint,0.0006231306977655,0.0006231306977655,,1
KLZ-NPs,Case 1,EP/dermis 24 h endpoint,0.0414812002974525,0.0414812002974525,,1
KLZ-NPs,Case 2,EP/dermis 24 h endpoint,0.0153166546509186,0.0153166546509186,,1
KLZ-NPs,Case 1,Receptor time-course,0.6252991966955267,0.583296236347784,0.9970051790044078,5
KLZ-NPs,Case 2,Receptor time-course,0.2491467388417673,0.1978414613950744,0.9995245492448722,5
KLZ-NPs,Case 1,SC 24 h endpoint,0.0032256242522645,0.0032256242522645,,1
KLZ-NPs,Case 2,SC 24 h endpoint,0.0006878660295299,0.0006878660295299,,1
