formulation,time_h,Q_receptor_exp_ug_cm2,C_receptor_exp_ug_mL,Q_receptor_model_ug_cm2,C_receptor_model_ug_mL,C_error_ug_mL
Free KC,4.0,0.7,0.23692307692307693,1.3742293469222626,0.4651237789583043,0.22820070203522738
Free KC,6.0,1.8,0.6092307692307692,3.2528100324767677,1.1009510879152138,0.49172031868444455
Free KC,8.0,4.3,1.4553846153846155,5.5129042946333575,1.8659060689528286,0.4105214535682131
Free KC,12.0,10.4,3.5200000000000005,10.54226877340757,3.5681525079225627,0.048152507922562204
Free KC,24.0,26.81,9.074153846153846,26.324227005976955,8.90973837125374,-0.16441547490010677
KLZ-NPs,4.0,1.7,0.5753846153846154,1.7194182389354054,0.5819569424089065,0.006572327024291114
KLZ-NPs,6.0,3.8,1.286153846153846,4.169168079865596,1.411103042416048,0.12494919626220202
KLZ-NPs,8.0,6.7,2.267692307692308,7.0829120156379215,2.3972932976005277,0.12960098990821978
KLZ-NPs,12.0,13.6,4.603076923076923,13.449986443643263,4.552303104002336,-0.05077381907458722
KLZ-NPs,24.0,33.19,11.233538461538462,33.12230458382028,11.210626166831481,-0.02291229470698042
