formulation,mesh_name,output,mesh_value,fine_mesh_value,absolute_difference,relative_difference_percent
Free KC,Coarse,Q_receptor_24h_ug_cm2,26.32422619988375,26.324226599121825,-3.992380754880287e-07,1.5166184426529258e-06
Free KC,Coarse,Q_SC_24h_ug_cm2,0.9022071316997329,0.9022146537736812,-7.522073948273977e-06,0.0008337344019864341
Free KC,Coarse,Q_EP_24h_ug_cm2,6.223907149215546,6.223908635328679,-1.4861131329979571e-06,2.387748953386551e-05
Free KC,Base,Q_receptor_24h_ug_cm2,26.32422645301083,26.324226599121825,-1.4611099530270621e-07,5.550438291227156e-07
Free KC,Base,Q_SC_24h_ug_cm2,0.902213150446222,0.9022146537736812,-1.503327459184689e-06,0.0001666263624622745
Free KC,Base,Q_EP_24h_ug_cm2,6.223908404662308,6.223908635328679,-2.3066637133695167e-07,3.706133634861277e-06
Free KC,Fine,Q_receptor_24h_ug_cm2,26.324226599121825,26.324226599121825,0.0,0.0
Free KC,Fine,Q_SC_24h_ug_cm2,0.9022146537736812,0.9022146537736812,0.0,0.0
Free KC,Fine,Q_EP_24h_ug_cm2,6.223908635328679,6.223908635328679,0.0,0.0
KLZ-NPs,Coarse,Q_receptor_24h_ug_cm2,33.12229851004812,33.122306407870084,-7.897821966196261e-06,2.3844420340002907e-05
KLZ-NPs,Coarse,Q_SC_24h_ug_cm2,2.7006749391213267,2.700691070064896,-1.6130943569336864e-05,0.0005972894770577831
KLZ-NPs,Coarse,Q_EP_24h_ug_cm2,9.415313892553957,9.415316909654427,-3.0171004699042214e-06,3.2044598167593264e-05
KLZ-NPs,Base,Q_receptor_24h_ug_cm2,33.122304789134496,33.122306407870084,-1.6187355882379961e-06,4.887146348762034e-06
KLZ-NPs,Base,Q_SC_24h_ug_cm2,2.700687847226026,2.700691070064896,-3.2228388699984123e-06,0.00011933385886749976
KLZ-NPs,Base,Q_EP_24h_ug_cm2,9.41531635748247,9.415316909654427,-5.521719579348883e-07,5.864613620904183e-06
KLZ-NPs,Fine,Q_receptor_24h_ug_cm2,33.122306407870084,33.122306407870084,0.0,0.0
KLZ-NPs,Fine,Q_SC_24h_ug_cm2,2.700691070064896,2.700691070064896,0.0,0.0
KLZ-NPs,Fine,Q_EP_24h_ug_cm2,9.415316909654427,9.415316909654427,0.0,0.0
